leto_id;pod_kategorija_id;meritev_na_enoto;meritev
2020;58;8.2;2016
2020;59;5.6;479
2020;60;9.2;1966
2020;61;8.5;67
2020;62;10.5;619
2020;63;2.1;996
2020;64;6.7;2786
2020;71;16.7;2021
2020;72;4.7;1548
2020;65;2.2;3098
2021;56;11.0;23011
2021;57;5.1;1167
2021;58;1.4;325
2021;59;0.7;64
2021;60;0.8;175
2021;61;1.7;12
2021;62;2.4;154
2021;63;1.1;590
2021;64;1.4;645
2021;71;13.0;1543
2021;72;3.9;1325
2021;65;0.6;915
2022;56;24.1;48838
2022;57;14.8;3327
2022;58;8.5;1952
2022;59;10.1;909
2022;60;7.8;1697
2022;61;11.2;87
2022;62;6.7;449
2022;63;2.3;1263
2022;64;5.0;2442
2022;71;17.9;2309
2022;72;4.4;1609
2022;65;1.6;2444
2023;56;15.3;30598
2023;57;11.2;2349
2023;58;4.6;1022
2023;59;3.8;355
2023;60;2.6;570
2023;61;1.0;9
2023;62;3.8;273
2023;63;1.2;739
2023;64;4.1;2196
2023;71;14.5;1638
2023;72;4.3;1558
2023;65;0.8;1309
